발견 지역,번호,발견물 이름,발견조건,위치,위도,경도,기타,게재힌트,필요기능,게재조건,도서관,등장,언어,도서명,저자,경쟁자정보 (발견/보고),모조품
전세계,1,신대륙,계약,,N75-S32,W53-122,"피로감소,규율상승",서회항로도,"항해술1,항해술2",,"비엔나,암스텔담,제노바,피렌체,세빌리아","기간,1483","로망스어,스페인어",세계지도,토스카넬리 작,"1492 10.1/
1493 5.1",
전세계,2,돌고래,,,N19-20,W27-32,피로감소1,,,,,,,,,,
전세계,3,모아이,,이스터 섬,S26,W109,해신상,훗 마츠아의 거인상,중남미토착어2,,팔렝케,발견,중남미토착어2,포포르 부흐,-,,
전세계,4,무제국,힌트,(바다에 있음),S21,W137,마왕상,무제국,중남미토착어3,"노아의 방주, 바벨탑, 아부심벨대신전, 포타라궁전 발견",마법사의 피라미드,발견,중남미토착어3,트로아노고사본,-,,
전세계,5,식인상어,,,N26-36,E151-166,"해전, 무력+5, 상어상",,,,,,,,,,
전세계,6,신천옹,,(육지에 있음),N15,E144,,신천옹,과학2,향료제도 발견,"알렉산드리아,이스탄불,바그다드,튀니스",기간,아랍어,카릴라와 디무나,동물우화,,
전세계,7,백경,,,N2-11,E145-157,"피로감소,운1상승,고래상",,,,,,,,,,
전세계,8,남극대륙,계약,,S63-84,모두,,남극대륙,항해술3,오스트렐리아 발견,알렉산드리아,기간,아랍어,마파문데스,고대지도,,
전세계,9,말라카 해협,계약,,N0-1,E103,,말라카해협,항해술1,인도발견,"비엔나,리스본",1490,게르만어,세계지도,마르틴베하임 저,"1511 6.1/
1511 7.1",
전세계,10,마젤란 해협,계약,,S54,W72,,신세계 해협,항해술1,신대륙발견,"비엔나,세빌리아",1505,게르만어,세계지도,요한세나 작,"1520 10.1/
1521 3.1",
전세계,11,베링 해협,계약,,N65-66,W168-169,,땅끝해협,항해술3,,"항주,광주",기간,동아시아토착어,해양견성도,항해지도,,
전세계,12,검은 담비,힌트,,N50-55,E77-84,,담비,과학3,중국발견,"개봉,서안",기간,동아시아토착어,제민요술,가사협 저,,
전세계,13,서서펜트,,,S0-9,E72-78,"해전, 해수상",,,,,,,,,,
전세계,14,실러캔스[낚시 게임],힌트,,S20-21,E59-60,,태고의 물고기,과학3,,"톨레도,세빌리아,바르셀로나,리스본",기간,로망스어,기원론 이시돌 다,세빌랴 저,,
전세계,15,케이프 펭귄,힌트,(바다에 있음),S45-47,E35-39,내구도감소,헤엄치는 새,과학2,마젤란해협 발견,"톨레도,세빌리아,바르셀로나,리스본",기간,로망스어,기원론 이시돌 다,세빌랴 저,"1515 12.1/
1516 9.1",
전세계,16,오로라,,베르겐 북동해상,N74-75,E22-39,천사상,천상의 커텐,,,,,,,,,
전세계,17,세계일주 항로,계약,,,,,세계일주항로,항해술2,"희망봉,말라카해협,마젤란해협 발견","리스본,비엔나,세빌리아",1510,"게르만어,스페인어",세계지서설,바르토제뮬라 작,"1522 9.1/
1522 9.1",
유럽,1,우스펜스키 교회,힌트,모스크바 시내,N56,E36,그리스 정교의 십자가,러시아 교회,신학1,,"바르샤바,비엔나",기간,슬라브어,이고리원정기,저자미상,,
유럽,2,성 소피아 교회,힌트,키에프 시내,N50,E30,,러시아 교회,신학1,,"바르샤바,비엔나",기간,슬라브어,이고리원정기,저자미상,,
